SGS Bonds and T-bills & CMTBs Auction Result Data

Issue Code,ISIN Code,Product Type,Term to Maturity at Auction,Auction Amount (S$M),Auction Date,Issue Date,Maturity Date,Amount Applied (S$M),Coupon Rate (%),Bid-to-Cover Ratio,Cut-off Yield (%),Cut-off Price,Median Yield (%),Median Price,Average Yield (%),Average Price
BS19102W,SGXZ25811357,T-bills,182,3800,25/07/2019,30/07/2019,28/01/2020,10424.1,N/A,2.74,1.84,99.083,1.77,99.117,1.51,99.247
BS19103N,SGXZ72388416,T-bills,182,3400,06/08/2019,13/08/2019,11/02/2020,7063.6,N/A,2.08,1.82,99.092,1.77,99.117,1.67,99.167
BS19104V,SGXZ65932600,T-bills,182,3700,22/08/2019,27/08/2019,25/02/2020,8828.3,N/A,2.39,1.83,99.088,1.72,99.142,1.43,99.287
BS19105A,SGXZ18132621,T-bills,182,3900,05/09/2019,10/09/2019,10/03/2020,8418.5,N/A,2.16,1.83,99.088,1.77,99.117,1.51,99.247
BS19106E,SGXZ63794333,T-bills,182,3700,19/09/2019,24/09/2019,24/03/2020,7496.7,N/A,2.03,1.83,99.088,1.73,99.137,1.41,99.297
BS19107F,SGXZ37416310,T-bills,182,3500,03/10/2019,08/10/2019,07/04/2020,6611.9,N/A,1.89,1.81,99.097,1.77,99.117,1.71,99.147
BS19108Z,SGXZ32282568,T-bills,182,3400,17/10/2019,22/10/2019,21/04/2020,8314.5,N/A,2.45,1.72,99.142,1.65,99.177,1.35,99.327
BS19109S,SGXZ57141277,T-bills,182,3700,31/10/2019,05/11/2019,05/05/2020,8271.7,N/A,2.24,1.68,99.162,1.62,99.192,1.53,99.237
BS19110V,SGXZ32652505,T-bills,182,3500,14/11/2019,19/11/2019,19/05/2020,7989.3,N/A,2.28,1.58,99.212,1.50,99.252,1.38,99.312
BS19111A,SGXZ45385242,T-bills,182,4000,27/11/2019,03/12/2019,02/06/2020,8359.5,N/A,2.09,1.65,99.177,1.58,99.212,1.45,99.277
BS19112E,SGXZ44705366,T-bills,182,3700,12/12/2019,17/12/2019,16/06/2020,10333.4,N/A,2.79,1.72,99.142,1.65,99.177,1.51,99.247
BS19113F,SGXZ37736717,T-bills,182,3700,23/12/2019,31/12/2019,30/06/2020,8014.1,N/A,2.17,1.79,99.107,1.71,99.147,1.66,99.172
BS20100T,SGXZ77442838,T-bills,182,3800,09/01/2020,14/01/2020,14/07/2020,11047.8,N/A,2.91,1.58,99.212,1.53,99.237,1.42,99.292
BS20101X,SGXZ24125775,T-bills,182,3800,22/01/2020,28/01/2020,28/07/2020,10031.7,N/A,2.64,1.53,99.237,1.50,99.252,1.36,99.322
BS20102W,SGXZ13547757,T-bills,182,3400,06/02/2020,11/02/2020,11/08/2020,9711.3,N/A,2.86,1.61,99.197,1.56,99.222,1.33,99.337
BS20103N,SGXZ88952916,T-bills,182,3700,20/02/2020,25/02/2020,25/08/2020,9507.8,N/A,2.57,1.58,99.212,1.49,99.257,1.26,99.372
BS20104V,SGXZ63272140,T-bills,182,3900,05/03/2020,10/03/2020,08/09/2020,12280.7,N/A,3.15,1.04,99.481,0.97,99.516,0.78,99.611
BS20105A,SGXZ47738703,T-bills,182,3700,19/03/2020,24/03/2020,22/09/2020,6545.6,N/A,1.77,1.40,99.302,0.95,99.526,0.83,99.586
BS20106E,SGXZ85476646,T-bills,182,3000,02/04/2020,07/04/2020,06/10/2020,8089.0,N/A,2.70,0.70,99.651,0.55,99.726,0.50,99.751
BS20107F,SGXZ82421181,T-bills,182,3500,16/04/2020,21/04/2020,20/10/2020,10479.8,N/A,2.99,0.55,99.726,0.47,99.766,0.38,99.811
BS20108Z,SGXZ19435908,T-bills,182,3800,29/04/2020,05/05/2020,03/11/2020,9277.9,N/A,2.44,0.40,99.801,0.37,99.816,0.32,99.840
BS20109S,SGXZ54113154,T-bills,182,3600,14/05/2020,19/05/2020,17/11/2020,11609.8,N/A,3.22,0.20,99.900,0.10,99.950,0.12,99.940
